,human_baseline_summaries,original_model_summaries,peft_model_summaries
1470,"#Person1# helps #Person2# to order a sandwich, soup, and a drink for lunch.",The order has been placed.,"#Person2# orders a turkey sandwich, cheese, soup, salad, and Diet Coke. #Person1# gives #Person2# a 10 and tells #Person2# the total is $9."
1471,#Person2# orders a turkey sandwich with cheese and a beef with vegetable soup for lunch.,The order has been placed.,"#Person2# orders a turkey sandwich, cheese, soup, salad, and Diet Coke. #Person1# gives #Person2# a 10 and tells #Person2# the total is $9."
1472,#Person2# orders a turkey sandwich with cheese and a beef with vegetable soup at Danny's.,The order has been placed.,"#Person2# orders a turkey sandwich, cheese, soup, salad, and Diet Coke. #Person1# gives #Person2# a 10 and tells #Person2# the total is $9."
1473,#Person1# checks James' packing situation and asks him about his jacket and camera. #Person1# asks James to pack cookies and to give them to his grandparents.,The train leaves at 4:30.,James is waiting for the jacket he lent to David last week. James wants to take pictures in the country. James wants to take pictures with his grandparents. James will take the cookies with him.
1474,James is waiting for David's return on his black jacket while #Person1# is examing other stuff that James is supposed to take for travel.,The train leaves at 4:30.,James is waiting for the jacket he lent to David last week. James wants to take pictures in the country. James wants to take pictures with his grandparents. James will take the cookies with him.
1475,James is waiting for David for his black jacket he lent to David before he goes to travel. He wants to wear it to take pictures. #Person1# asks James to take the cookies because his grandparents like to eat.,The train leaves at 4:30.,James is waiting for the jacket he lent to David last week. James wants to take pictures in the country. James wants to take pictures with his grandparents. James will take the cookies with him.
1476,#Person1# and Ted talk about holidays. Ted will stay at home and #Person1# will go to China.,"- Ted, where are you going for your holiday this year? - Ted: My wife is going to stay at her parents' for a few weeks. - Ted: I'm going to stay at home. - Ted: I'm going to China. - Ted: I'm going to China. - Ted: I'm going to China.",Ted is going to China for a holiday. #Person1# will spend a few weeks in China. Ted thinks China is a great country.
1477,Ted and #Person2# are discussing the place where they are going to take a holiday.,"- Ted, where are you going for your holiday this year? - Ted: My wife is going to stay at her parents' for a few weeks. - Ted: I'm going to stay at home. - Ted: I'm going to China. - Ted: I'm going to China. - Ted: I'm going to China.",Ted is going to China for a holiday. #Person1# will spend a few weeks in China. Ted thinks China is a great country.
1478,"Ted's wife will stay with her parents for a few weeks, but Ted doesn't like living with them. #Person1# will go to China with her husband.","- Ted, where are you going for your holiday this year? - Ted: My wife is going to stay at her parents' for a few weeks. - Ted: I'm going to stay at home. - Ted: I'm going to China. - Ted: I'm going to China. - Ted: I'm going to China.",Ted is going to China for a holiday. #Person1# will spend a few weeks in China. Ted thinks China is a great country.
1479,#Person1# wants to go to the cinema. Dad agreed and they will go to McDonald's after the movie.,The movie No Country for Old Men starts at 3:00 in the afternoon.,#Person1# and #Person2# are going to the cinema this afternoon. #Person1#'s aunt Helen always takes #Person1# to the cinema. #Person1#'s dad will take #Person1#'s mommy with them. They will go to McDonald's after the movie.
1480,Dad agrees with #Person1#'s advice on going to the cinema and McDonald's this afternoon.,The movie No Country for Old Men starts at 3:00 in the afternoon.,#Person1# and #Person2# are going to the cinema this afternoon. #Person1#'s aunt Helen always takes #Person1# to the cinema. #Person1#'s dad will take #Person1#'s mommy with them. They will go to McDonald's after the movie.
1481,#Person1# wants to watch No Country for Old Men with #Person1#'s dad. They will go to the cinema with #Person1#'s mom and eat at McDonald's after the movie.,The movie No Country for Old Men starts at 3:00 in the afternoon.,#Person1# and #Person2# are going to the cinema this afternoon. #Person1#'s aunt Helen always takes #Person1# to the cinema. #Person1#'s dad will take #Person1#'s mommy with them. They will go to McDonald's after the movie.
1482,#Person2# tells #Person1# that #Person2#'s house was robbed.,The house was robbed last night and the thieves stole all the furniture.,#Person2#'s house was robbed and the thieves stole all the furniture. #Person1# asks #Person2# to call the police.
1483,#Person2#'s home was robbed last night.,The house was robbed last night and the thieves stole all the furniture.,#Person2#'s house was robbed and the thieves stole all the furniture. #Person1# asks #Person2# to call the police.
1484,#Person2# was robbed and called the police.,The house was robbed last night and the thieves stole all the furniture.,#Person2#'s house was robbed and the thieves stole all the furniture. #Person1# asks #Person2# to call the police.
1485,Jack invites Charlie to play a new video game and Charlie is interested.,Charlie will come over to Charlie's house after school.,Charlie invites Charlie to play video games with him after school. Charlie will pick up his dad at the airport and Jack will play a game where Charlie can create his own character. Charlie will show him the game.
1486,Jack asks Charlie to come over and play the new video games with him.,Charlie will come over to Charlie's house after school.,Charlie invites Charlie to play video games with him after school. Charlie will pick up his dad at the airport and Jack will play a game where Charlie can create his own character. Charlie will show him the game.
1487,Jack invites Charlie to play video games after he picks up his dad. Charlie agrees.,Charlie will come over to Charlie's house after school.,Charlie invites Charlie to play video games with him after school. Charlie will pick up his dad at the airport and Jack will play a game where Charlie can create his own character. Charlie will show him the game.
1488,#Person2# explains to #Person1# about how #Person2# got interested in country music and started the program.,Educate yourself about country music.,#Person2# tells #Person1# that #Person2# started working for the radio station and started the program called Golden Country Time. #Person2# started buying country song books and building his own library.
1489,#Person2# shares #Person2#'s career in the past days that is fully intertwined with country music.,Educate yourself about country music.,#Person2# tells #Person1# that #Person2# started working for the radio station and started the program called Golden Country Time. #Person2# started buying country song books and building his own library.
1490,"#Person2# tells #Person1# about #Person2#'s own experience about buying more country music than other kinds, starting Golden Country Time at CBC, and writing articles about country music.",Educate yourself about country music.,#Person2# tells #Person1# that #Person2# started working for the radio station and started the program called Golden Country Time. #Person2# started buying country song books and building his own library.
